,ATSPM_ID,name,latitude,longitude,roadway_name
0,1175,US 17-92 @ Obrien  Dr,28.648608,-81.351332,"US-17-92, OBRIEN RD, SPARTAN DR"
0,D5I-1113,Buenaventura Boulevard & Florida Pkwy,28.32845,-81.350995,"FLORIDA PKWY, BUENAVENTURA BLVD"
0,ORL-0637,Princeton St & Science Center / Museum,28.571114,-81.367338,"N LAKE FORMOSA DR, E PRINCETON ST"
0,ORL-0683,Conroy Rd at Water Garden Dr,28.487464,-81.428578,"WATER GARDEN DR, CONROY RD"
0,2340,Montgomery St  @  Jamestown Blvd,28.68122,-81.4026,"MONTGOMERY RD, JAMESTOWN BLVD"
0,BRE-0161,SR A1A at Central Blvd,28.396765,-80.612606,"ASTRONAUT BLVD, CENTRAL BLVD W"
0,VOL-0257,Granada Blvd (SR 40) at Tymber Creek Rd,29.253368,-81.129117,"N TYMBER CREEK RD, W GRANADA BLVD"
0,BRE-0103,SR 520 at NB I-95,28.359813,-80.794028,"I-95, W KING ST"
0,D5I-2050,SR 414 & Hope Rd,28.63103,-81.382894,"MAITLAND BLVD, HOPE RD"
0,BRE-0132,New Haven Ave (US 192) & Dayton Blvd,28.07884,-80.66648,"DAYTON BLVD, NEW HAVEN AVE W"
0,BRE-0410,Viera Blvd at NB I-95,28.266552,-80.728034,"I-95, VIERA BLVD"
0,ORL-0227,SR 436 (Semoran Blvd) at Gatlin Ave,28.495267,-81.31021,"SEMORAN BLVD S, GATLIN AVE, GATLIN AVE"
0,VOL-0193,Nova Rd (SR 5A) & Village Trail,29.12471,-81.003507,"S NOVA RD, VILLAGE TRL"
0,ORC-0430,International Dr & Hawaiian Ct / Destination Pkwy,28.423804,-81.460447,"HAWAIIAN CT, DESTINATION PKWY, INTERNATIONAL DR"
0,ORC-0236,Sand Lake Rd (SR 482) at Presidents Dr,28.450438,-81.41648,"PRESIDENTS DR, SAND LAKE RD"
0,2735,Airport Blvd @ Placid Lake Dr,28.7776,-81.295,"W AIRPORT BLVD, PLACID LAKE DR"
0,ORC-0011,Aloma Ave (SR 426) & Eastbrook Blvd/Forsyth Rd,28.6064,-81.2992,"FORSYTH RD, ALOMA AVE"
0,ORL-0233,SR 436 (Semoran Blvd) at La Costa Dr,28.527602,-81.310424,"S SEMORAN BLVD, LA COSTA DR"
0,1130,US-17/92 at SR-434,28.697891,-81.327134,"US-17-92, SR-434"
0,1640,SR 436 & Casselton Dr,28.6119,-81.30948,"SEMORAN BLVD, CASSELTON DR"
0,MEL-0001,SR A1A & Holy Name Way,28.135255,-80.580173,HIGHWAY A1A N
0,OSC-1146,Canoe Creek Rd @ 17th St,28.24239,-81.292591,CANOE CREEK RD
0,BRE-1004,SR 520 (W King St) at Brevard Ave,28.355877,-80.726242,KING ST
0,ORC-0685,Palm Pkwy at Lake St,28.391325,-81.496874,"PALM PKWY, LAKE ST"
0,D5I-7055,US 441 & Vick Rd,28.682853,-81.527074,"SR-451-TOLL, W ORANGE BLOSSOM TRL, VICK RD"
0,MEL-4052,US 1 & Parkway Dr,28.157552,-80.641305,PARKWAY DR
0,VOL-0109,Woodland Blvd (US 17/92) at Wisconsin Ave,29.0317,-81.303537,"E WISCONSIN AVE, W WISCONSIN AVE"
0,D5I-7060,US 441 & Errol Pkwy,28.686327,-81.536025,"ERROL PKWY, W ORANGE BLOSSOM TRL"
0,OSC-1050,US 192 & Old Lake Wilson Rd,28.332936,-81.587479,"N OLD LAKE WILSON RD, W IRLO BRONSON MEMORIAL HWY"
0,D5I-2035,US 17/92 at Park Ave,28.613179,-81.365426,ORLANDO AVE S
0,ORC-0200,Orange Blossom Trail at Pepper Mill Blvd,28.390663,-81.404565,"ORANGE BLOSSOM TRL S, PEPPER MILL BLVD"
0,VOL-0233,Granada Blvd (SR 40) & Orchard St,29.280707,-81.068707,"S ORCHARD ST, W GRANADA BLVD, N ORCHARD ST"
0,ORL-0708,Millenia Blvd & Millenia Lakes Blvd,28.486862,-81.438352,"MILLENIA BLVD, MILLENIA LAKES BLVD"
0,1950,HE Thomas Jr Pkwy & Ridgewood Ave,28.786608,-81.28382,"RIDGEWOOD AVE, W 25TH ST"
0,VOL-0364,Granada Blvd (SR 40) at Seminole Dr,29.262738,-81.107431,"W GRANADA BLVD, SEMINOLE DR"
0,ORC-0207,US-441 / Orange Blossom Trl at Sunlife Path,28.443411,-81.40275,"S ORANGE BLOSSOM TRL, SUN LIFE PATH, MORNING DR"
